unit,n_donors,n_pre_fit_days,n_post_days,pre_rmspe,post_rmspe,post_pre_rmspe_ratio,cumulative_scaled_throughput_loss,mean_daily_scaled_throughput_loss,top_weight_slug,top_weight,effective_n_weights,value_col,is_actual,fixed_train_cutoff,pre_start,pre_end,post_start,post_end,donor_pool,fit_status,fit_warning,primary_prefit_rmspe_multiplier,primary_prefit_max_pre_rmspe,n_placebos_total,n_placebos_eligible,n_placebos_excluded,p_ratio_ge_actual,p_value_floor,placebo_ratio_p95,ratio_vs_placebo_p95,pre_rmspe_multiple_of_treated,eligible_primary_prefit_screen
magellan_strait,21,1519,130,0.9563772714664185,0.9338525802674819,0.9764479020246901,2.6813367442781946,0.02062566726367842,dover_strait,0.2494513363558063,6.088150687286834,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.704615757708136,False
makassar_strait,21,1519,130,0.4200406286743036,0.4440336908329243,1.057120812894566,-2.7429688467175875,-0.021099760359366056,malacca_strait,0.3440554191610773,5.666095265036227,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.6270661989682136,True
malacca_strait,21,1519,130,0.12361539095465086,0.15505148531584534,1.2543056662962544,12.2957552054083,0.09458273234929461,dover_strait,0.22163723548797729,8.886699494941581,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.4788356424695015,True
mindoro_strait,21,1519,130,0.5413482478257621,0.637806686404858,1.1781818616140456,-35.885759852785135,-0.27604430655988565,luzon_strait,0.2115882194617103,8.014921830124502,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.096962474053762,False
mona_passage,21,1519,130,0.6275948787706096,0.7038438956950889,1.1214940075257511,-21.84774692402196,-0.16805959172324583,korea_strait,0.191349320017731,9.44653952665688,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.4310467706803567,False
ombai_strait,21,1519,130,0.4808573042711068,0.47321706430215377,0.9841112115775505,11.693832498131236,0.08995255767793259,malacca_strait,0.31897708416450055,4.721770300427657,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.862645213097108,True
oresund_strait,21,1519,130,0.2930820412745708,0.2835613331031535,0.9675152113380501,9.345600735847068,0.07188923642959283,malacca_strait,0.2864322023954395,6.81147969505455,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.1352803760614734,True
sunda_strait,21,1519,130,0.28886106528052197,0.32238855876611416,1.1160678870066223,-14.096322879302596,-0.10843325291771228,malacca_strait,0.3556189287246396,4.637453866707875,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.1189300354093112,True
taiwan_strait,21,1519,130,0.20906742879880758,0.1542886271382065,0.7379850033296363,3.71966977730121,0.02861284444077854,malacca_strait,0.21564682124602957,8.31879973725939,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.8098420092773837,True
torres_strait,21,1519,130,0.6727496177278133,0.6985786913763453,1.0383932936829734,-3.239612125712647,-0.02492009327471267,dover_strait,0.26567297228838976,6.242058170693681,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.6059578256237277,False
tsugaru_strait,21,1519,130,0.41590058406870095,0.309981547437781,0.7453260690458092,-12.498184620040359,-0.09613988169261814,dover_strait,0.21354281907104083,7.074734993312478,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.6110293535295788,True
windward_passage,21,1519,130,0.7324585106029723,0.7594850744799476,1.0368984228945972,-3.9537807514075003,-0.03041369808775,taiwan_strait,0.25177058788451534,6.079435859886756,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.8372457409894456,False
yucatan_channel,21,1519,130,0.22358133789504298,0.43863235348072005,1.9618468947825585,-45.368758147808585,-0.3489904472908353,malacca_strait,0.2986717907080036,6.3871787721600315,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.8660629776630226,True
strait_of_hormuz,21,431,38,0.35315755875202454,0.8400229715933695,2.3786068024759612,30.91646185104308,0.813591101343239,malacca_strait,0.24133811093602303,7.176222998852762,capacity_tanker,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,2.0,0.7063151175040491,22.0,10.0,12.0,0.09090909090909091,0.09090909090909091,1.688816386330273,1.408446070116938,,
balabac_strait,20,431,41,1.1402030463673047,1.5635318973368626,1.3712749692419142,-17.243629526110443,-0.4205763299051328,malacca_strait,0.5203384761170105,3.1619271512568483,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.228595900358223,False
bering_strait,20,431,41,2.834369150908121,2.460452590320598,0.8680776777196713,23.323658884461775,0.5688697288893115,taiwan_strait,0.31944667373801705,4.345304874272978,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,8.025792116482265,False
bohai_strait,20,431,41,0.42936897787355993,0.4353853912935646,1.0140122219583745,2.3300450299756443,0.056830366584771815,dover_strait,0.29127816538336854,7.146689975351798,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.215800050806922,True
bosporus_strait,20,431,41,0.44396324127530185,0.5076943632842973,1.1435504476134675,-4.8831274636860265,-0.11910066984600065,dover_strait,0.2081735988668461,7.391444019528446,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.2571251280707771,True
dover_strait,20,431,41,0.2714901394928169,0.30733870849498635,1.1320437238315166,-0.5244641725208702,-0.012791809085874883,malacca_strait,0.317913375855448,6.375801388915961,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.768750753777433,True
kerch_strait,20,431,41,2.0147201025279524,1.8541070745267245,0.9202802276109222,10.611531591201034,0.2588178436878301,tsugaru_strait,0.2874863756110994,4.859388548826275,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,5.7048760605535325,False
korea_strait,20,431,41,0.38817307123738864,0.3359457195248763,0.8654534392454738,-0.20127070887164256,-0.00490904167979616,malacca_strait,0.30637079446836113,5.75689689500053,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.0991498316193504,True
lombok_strait,20,431,41,0.7153510429187857,0.9446697479796135,1.320568072599934,-7.8934111365513235,-0.1925222228427152,malacca_strait,0.24485606043996574,7.243283076032858,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.0255861022674058,False
luzon_strait,20,431,41,0.4466666868318222,0.3978311260829556,0.8906666599757997,7.236607263387269,0.1765026161801773,dover_strait,0.16399280788168744,9.854845280628245,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.2647801972871169,True
magellan_strait,20,431,41,1.3332302671267222,1.48801829476154,1.116099995215684,5.253816134627184,0.12814185694212643,tsugaru_strait,0.220869852737707,7.957583215014451,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.775171263042035,False
makassar_strait,20,431,41,1.0157767695292106,0.9164749451477389,0.9022405046460199,7.144139706885277,0.17424730992403115,taiwan_strait,0.18698013942362327,8.385690922322949,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.8762707872336812,False
malacca_strait,20,431,41,0.2569828667576437,0.36428595088217636,1.4175495646008511,12.489561864682045,0.3046234601141962,dover_strait,0.28773570003580945,7.374264165223955,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.7276719990526622,True
mindoro_strait,20,431,41,0.9787837478429685,1.367733206917576,1.3973803814497017,-12.610247110387515,-0.3075670026923784,dover_strait,0.35786595379765374,4.966144444827287,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.7715214458434905,False
mona_passage,20,431,41,1.0856925541423132,0.9989976993686002,0.920147877552498,-12.169423059574319,-0.2968151965749834,luzon_strait,0.21565658760801132,7.373278176821616,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.074244136183562,False
ombai_strait,20,431,41,0.670076903831546,0.8011777005027304,1.1956503737429853,-3.224515326360411,-0.0786467152770832,malacca_strait,0.32875896190817605,5.849556936629863,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.897387970965253,True
oresund_strait,20,431,41,0.7910628311510105,0.7258538949410521,0.9175679432250935,-5.635895617584712,-0.13746086872157834,taiwan_strait,0.3641111433137808,5.7560969734933245,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.239971399582781,False
sunda_strait,20,431,41,0.7733542719062605,0.6516915084908487,0.8426817206097249,-0.9882076470454442,-0.02410262553769376,malacca_strait,0.31160788161751407,6.739201372086743,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.1898278905288393,False
taiwan_strait,20,431,41,0.3497465332379244,0.37004998246594734,1.0580518955829392,2.757490595767293,0.06725586818944618,malacca_strait,0.2063002660100289,7.949166043747513,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.9903413492658802,True
torres_strait,20,422,42,0.8434412295634495,1.171866703935285,1.389387503076916,-3.8252896526374913,-0.09107832506279741,luzon_strait,0.1627591149843792,10.68317714057465,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.388285932613114,False
tsugaru_strait,20,431,41,0.6746645106681917,1.280558484017558,1.8980670596550058,-26.704841119444662,-0.6513375882791381,taiwan_strait,0.2877817276763848,6.207856506087275,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.9103782262293827,True
windward_passage,20,431,41,1.0789123384623842,1.2977565238022777,1.202837781660538,-5.101704139488843,-0.12443180828021569,malacca_strait,0.23514222128590534,8.8404338670316,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.055045295575736,False
yucatan_channel,20,431,41,0.41277645561926607,0.5915357239211244,1.4330655633778229,-12.031525575229034,-0.2934518432982691,dover_strait,0.3086996088897611,6.371883053356327,capacity_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.1688167091139734,True
