window,model,target,is_donut,fixed_train_cutoff,train_start,train_end,forecast_bridge_start,post_start,post_end,excluded_start,excluded_end,n_train,n_forecast_bridge_days,n_scored_days,note,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss
anchored_kinetic_trigger,arx_lag1_7_route,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,130,529.0,7585.41855841607,-7056.41855841607,7056.41855841607,54.28014275704669
anchored_kinetic_trigger,arx_lag1_7_route_energy,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,130,529.0,8700.521698088585,-8171.521698088585,8171.521698088585,62.85785921606604
anchored_kinetic_trigger,seasonal_naive_7d,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,118,27499733.0,303113179.0,-275613446.0,275613446.0,2335707.1694915253
anchored_kinetic_trigger,ar_lag1_7,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,118,27499733.0,318505792.90571,-291006059.90571,291006059.90571,2466153.0500483895
anchored_kinetic_trigger,arx_lag1_7_route,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,118,27499733.0,321671425.7267485,-294171692.7267485,294171692.7267485,2492980.446836852
anchored_kinetic_trigger,arx_lag1_7_route_energy,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,118,27499733.0,374694676.6727116,-347194943.6727116,347194943.6727116,2942330.0311246747
anchored_closure_declaration,seasonal_naive_7d,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,128,484.0,7503.0,-7019.0,7019.0,54.8359375
anchored_closure_declaration,ar_lag1_7,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,128,484.0,7291.6757627046845,-6807.6757627046845,6807.6757627046845,53.18496689613035
anchored_closure_declaration,arx_lag1_7_route,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,128,484.0,7475.240536851038,-6991.240536851039,6991.240536851039,54.61906669414874
anchored_closure_declaration,arx_lag1_7_route_energy,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,128,484.0,8595.61999919788,-8111.61999919788,8111.61999919788,63.37203124373344
anchored_closure_declaration,seasonal_naive_7d,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,116,24509602.0,296634006.0,-272124404.0,272124404.0,2345900.0344827585
anchored_closure_declaration,ar_lag1_7,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,116,24509602.0,313570442.2026313,-289060840.2026313,289060840.2026313,2491903.79485027
anchored_closure_declaration,arx_lag1_7_route,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,116,24509602.0,316631130.10835445,-292121528.10835445,292121528.10835445,2518289.0354168485
anchored_closure_declaration,arx_lag1_7_route_energy,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-02,2026-07-07,,,1519,130,128,Sensitivity window; training cutoff remains fixed before the disruption.,116,24509602.0,369939456.6521639,-345429854.6521639,345429854.6521639,2977843.57458762
anchored_force_majeure,seasonal_naive_7d,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,126,480.0,7398.0,-6918.0,6918.0,54.904761904761905
anchored_force_majeure,ar_lag1_7,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,126,480.0,7178.212631707695,-6698.212631707695,6698.212631707695,53.160417711965835
anchored_force_majeure,arx_lag1_7_route,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,126,480.0,7359.180184269601,-6879.180184269601,6879.180184269601,54.59666812912382
anchored_force_majeure,arx_lag1_7_route_energy,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,126,480.0,8483.078938887118,-8003.078938887117,8003.078938887117,63.51649951497712
anchored_force_majeure,seasonal_naive_7d,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,114,24496200.0,292016457.0,-267520257.0,267520257.0,2346668.9210526315
anchored_force_majeure,ar_lag1_7,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,114,24496200.0,308309178.25861114,-283812978.25861114,283812978.25861114,2489587.5285843085
anchored_force_majeure,arx_lag1_7_route,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,114,24496200.0,311315314.3237805,-286819114.3237805,286819114.3237805,2515957.143191057
anchored_force_majeure,arx_lag1_7_route_energy,hormuz_tanker_capacity,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-04,2026-07-07,,,1519,130,126,Sensitivity window; training cutoff remains fixed before the disruption.,114,24496200.0,364738853.3971098,-340242653.3971098,340242653.3971098,2984584.6789220157
